sstart,ssample_end_date,selected_features
81,2019-05-01,"target, EMP_SERV_CAN, EMP_CAN, EOIL_BP_new, WTISPLC, GOOD_HRS_CAN_lag1, EX_TRANSP_BP_new_lag1, TSX_HI"
82,2019-06-01,"target, EMP_SERV_CAN, EMP_CAN, WTISPLC, EOIL_BP_new, EX_TRANSP_BP_new_lag1, IMP_TRANSP_BP_new_lag1, USDCAD_new"
83,2019-07-01,"target, EMP_SERV_CAN, EMP_CAN, WTISPLC, EOIL_BP_new, EX_TRANSP_BP_new_lag1, USDCAD_new, IMP_TRANSP_BP_new_lag1"
84,2019-08-01,"target, EMP_SERV_CAN, EMP_CAN, EMP_SALES_CAN, WTISPLC, USDCAD_new, IMP_TRANSP_BP_new_lag1, IPPI_MOTOR_CAN"
85,2019-09-01,"target, EMP_SERV_CAN, IMP_TRANSP_BP_new_lag1, EMP_SALES_CAN, EMP_CAN, WTISPLC, IPPI_MOTOR_CAN, USDCAD_new"
86,2019-10-01,"target, EMP_SERV_CAN, WTISPLC, EOIL_BP_new, IMP_TRANSP_BP_new_lag1, EMP_SALES_CAN, EMP_CAN, IPPI_MOTOR_CAN"
87,2019-11-01,"target, EMP_SERV_CAN, WTISPLC, EOIL_BP_new, EMP_SALES_CAN, IMP_TRANSP_BP_new_lag1, EMP_CAN, IPPI_WOOD_CAN"
88,2019-12-01,"target, EMP_SERV_CAN, WTISPLC, EOIL_BP_new, IMP_TRANSP_BP_new_lag1, EMP_CAN, IPPI_MOTOR_CAN, EMP_SALES_CAN"
89,2020-01-01,"target, EMP_SERV_CAN, IMP_TRANSP_BP_new_lag1, WTISPLC, EOIL_BP_new, EMP_CAN, IPPI_WOOD_CAN, EMP_SALES_CAN"
90,2020-02-01,"target, EMP_SERV_CAN, WTISPLC, IMP_TRANSP_BP_new_lag1, EOIL_BP_new, EMP_CAN, IPPI_MOTOR_CAN, UNEMP_CAN"
91,2020-03-01,"target, EMP_SERV_CAN, WTISPLC, IMP_TRANSP_BP_new_lag1, EOIL_BP_new, EMP_CAN, IPPI_MOTOR_CAN, UNEMP_CAN"
92,2020-04-01,"target, EMP_SERV_CAN, WTISPLC, IMP_TRANSP_BP_new_lag1, EOIL_BP_new, UNEMP_CAN, IPPI_MOTOR_CAN, EMP_CAN"
93,2020-05-01,"target, EMP_SERV_CAN, IMP_TRANSP_BP_new_lag1, WTISPLC, EOIL_BP_new, UNEMP_CAN, EMP_CAN, USDCAD_new"
94,2020-06-01,"target, EMP_SERV_CAN, UNEMP_CAN, IMP_TRANSP_BP_new_lag1, WTISPLC, EMP_CAN, CAN_US_SEC_NETFLOW_lag1, EOIL_BP_new"
95,2020-07-01,"target, EMP_SERV_CAN, WTISPLC, UNEMP_CAN, IMP_TRANSP_BP_new_lag1, EMP_CAN, EOIL_BP_new, CAN_US_SEC_NETFLOW_lag1"
96,2020-08-01,"target, EMP_SERV_CAN, UNEMP_CAN, WTISPLC, IMP_TRANSP_BP_new_lag1, CAN_US_SEC_NETFLOW_lag1, EOIL_BP_new, EMP_CAN"
97,2020-09-01,"target, EMP_SERV_CAN, WTISPLC, EOIL_BP_new, CAN_US_SEC_NETFLOW_lag1, IMP_TRANSP_BP_new_lag1, UNEMP_CAN, EX_ENER_BP_new_lag1"
98,2020-10-01,"target, EMP_SERV_CAN, WTISPLC, IMP_TRANSP_BP_new_lag1, UNEMP_CAN, CAN_US_SEC_NETFLOW_lag1, UNEMP_DURA_14.25_CAN, EOIL_BP_new"
99,2020-11-01,"target, EMP_SERV_CAN, WTISPLC, EOIL_BP_new, IMP_TRANSP_BP_new_lag1, IPPI_MOTOR_CAN, EMP_CAN, USDCAD_new"
100,2020-12-01,"target, EMP_SERV_CAN, WTISPLC, IMP_TRANSP_BP_new_lag1, EOIL_BP_new, EMP_CAN, IPPI_MOTOR_CAN, USDCAD_new"
101,2021-01-01,"target, EMP_SERV_CAN, WTISPLC, IMP_TRANSP_BP_new_lag1, EOIL_BP_new, UNEMP_DURA_14.25_CAN, EMP_CAN, IPPI_MOTOR_CAN"
102,2021-02-01,"target, WTISPLC, EMP_SERV_CAN, IMP_TRANSP_BP_new_lag1, EOIL_BP_new, UNEMP_DURA_14.25_CAN, UNEMP_CAN, USDCAD_new"
103,2021-03-01,"target, WTISPLC, EOIL_BP_new, EMP_SERV_CAN, IMP_TRANSP_BP_new_lag1, IPPI_MOTOR_CAN, USDCAD_new, TSX_HI"
104,2021-04-01,"target, WTISPLC, EOIL_BP_new, EMP_SERV_CAN, IMP_TRANSP_BP_new_lag1, TSX_HI, CRED_BUS_cb, EMP_SALES_CAN_lag2"
105,2021-05-01,"target, WTISPLC, EOIL_BP_new, IMP_TRANSP_BP_new_lag1, EMP_SERV_CAN, EMP_SALES_CAN_lag2, CRED_BUS_cb, TSX_HI"
106,2021-06-01,"target, EOIL_BP_new, WTISPLC, TSX_HI, EMP_SALES_CAN_lag2, IMP_TRANSP_BP_new_lag1, EMP_SERV_CAN, CRED_BUS_cb"
107,2021-07-01,"target, EOIL_BP_new, WTISPLC, EMP_SERV_CAN, IMP_TRANSP_BP_new_lag1, TSX_HI, EMP_SALES_CAN_lag2, UNEMP_DURA_14.25_CAN"
108,2021-08-01,"target, EOIL_BP_new, WTISPLC, EMP_SERV_CAN, IMP_TRANSP_BP_new_lag1, TSX_HI, EMP_SALES_CAN_lag2, UNEMP_DURA_14.25_CAN"
